archetype,account_age_days,followers,following,posts_per_day,profile_completeness,follow_burst_rate,posting_variance,engagement_rate,is_fake
active_human,718,124,114,1.17,0.79,0.41,0.35,0.0454,0
active_human,410,310,234,0.58,0.89,0.26,0.34,0.0259,0
follow_bot,55,153,5454,0.34,0.36,0.91,0.49,0.0008,1
active_human,1036,180,159,1.9,0.76,0.1,0.39,0.0927,0
active_human,399,467,369,0.48,0.84,0.19,0.32,0.0799,0
active_human,266,88,121,0.75,0.68,0.03,0.3,0.1029,0
follow_bot,5,27,3342,0.7,0.33,0.92,0.71,0.0012,1
follow_bot,33,169,4573,0.93,0.48,0.89,0.6,0.0002,1
active_human,490,253,295,2.25,0.88,0.13,0.29,0.067,0
lurker_human,210,68,351,0.02,0.69,0.1,0.12,0.0331,0
lurker_human,393,28,393,0.02,0.62,0.02,0.14,0.0354,0
follow_bot,17,30,4517,1.49,0.25,0.89,0.56,0.0008,1
lurker_human,236,128,317,0.1,0.5,0.09,0.29,0.0461,0
follow_bot,50,106,6741,0.46,0.22,0.94,0.67,0.0002,1
active_human,144,137,157,2.27,0.84,0.16,0.25,0.0339,0
active_human,456,189,263,0.35,0.73,0.14,0.14,0.0759,0
active_human,837,685,817,1.13,0.91,0.08,0.33,0.0299,0
follow_bot,36,76,4141,1.09,0.48,0.91,0.47,0.0009,1
active_human,455,456,309,1.66,0.81,0.12,0.4,0.0654,0
spambot,3,73,2899,63.87,0.29,0.74,0.77,0.0006,1
compromised_bot,2057,461,4410,27.07,0.55,0.9,0.71,0.0036,1
lurker_human,561,48,126,0.09,0.45,0.01,0.29,0.0487,0
compromised_bot,2312,504,5432,28.96,0.77,0.9,0.73,0.0031,1
active_human,535,213,193,1.48,0.91,0.12,0.29,0.0769,0
creator_human,1018,3730,756,3.49,0.99,0.08,0.27,0.1019,0
active_human,396,235,258,2.03,0.89,0.12,0.28,0.0575,0
active_human,753,136,163,2.19,0.78,0.14,0.36,0.0639,0
follow_bot,36,91,8442,0.73,0.4,0.94,0.77,0.0,1
lurker_human,945,61,369,0.05,0.53,0.1,0.12,0.0205,0
compromised_bot,2126,1386,7614,17.02,0.85,0.68,0.6,0.0013,1
active_human,875,282,376,1.12,0.71,0.02,0.31,0.0206,0
active_human,809,138,200,1.3,0.72,0.3,0.18,0.0222,0
creator_human,899,3049,880,3.11,0.9,0.18,0.17,0.1366,0
lurker_human,603,29,103,0.02,0.64,0.04,0.23,0.0511,0
follow_bot,26,49,5307,0.3,0.51,0.89,0.6,0.0006,1
active_human,401,276,275,0.63,0.75,0.02,0.12,0.1131,0
follow_bot,47,166,7232,1.28,0.33,0.97,0.76,0.0009,1
compromised_bot,1423,890,6992,14.06,0.51,0.82,0.88,0.0069,1
spambot,3,25,1734,48.32,0.44,0.91,0.98,0.0021,1
active_human,602,194,169,1.35,0.89,0.18,0.16,0.0752,0
lurker_human,321,73,149,0.1,0.61,0.04,0.08,0.0426,0
spambot,6,48,4720,49.11,0.26,0.86,0.77,0.0001,1
spambot,27,58,3173,42.19,0.13,0.89,0.81,0.0027,1
follow_bot,21,119,7493,0.68,0.4,0.91,0.61,0.0012,1
active_human,1088,249,313,1.25,0.89,0.07,0.15,0.0636,0
active_human,364,124,159,0.2,0.84,0.09,0.24,0.0598,0
active_human,615,135,157,0.34,0.75,0.07,0.33,0.0405,0
spambot,15,61,1525,57.36,0.21,0.78,0.99,0.0016,1
compromised_bot,1662,690,4572,43.16,0.62,0.87,0.76,0.0014,1
spambot,18,9,7439,26.51,0.12,0.82,0.82,0.0023,1
active_human,1055,266,384,1.46,0.57,0.01,0.4,0.0727,0
active_human,771,307,341,1.4,0.65,0.07,0.31,0.0595,0
compromised_bot,1729,1470,4019,15.66,0.67,0.87,0.67,0.0055,1
spambot,3,48,5732,56.77,0.37,0.81,0.88,0.0024,1
active_human,799,256,350,1.19,0.43,0.06,0.11,0.0961,0
active_human,488,298,441,0.83,0.97,0.3,0.14,0.088,0
active_human,794,362,362,1.95,0.82,0.05,0.25,0.0405,0
creator_human,1035,32431,1023,3.23,0.9,0.11,0.33,0.0852,0
active_human,426,145,225,2.21,0.92,0.01,0.39,0.0426,0
active_human,112,421,516,1.95,0.86,0.03,0.14,0.0581,0
lurker_human,337,51,211,0.12,0.6,0.11,0.06,0.0233,0
creator_human,1818,4924,852,2.8,0.93,0.12,0.34,0.1293,0
spambot,19,74,4572,21.1,0.14,0.94,0.83,0.0001,1
active_human,439,169,148,1.81,0.65,0.03,0.22,0.0225,0
follow_bot,44,97,5873,0.96,0.54,0.86,0.62,0.001,1
spambot,12,44,3886,36.48,0.21,0.84,0.78,0.0029,1
spambot,46,47,2981,55.44,0.34,0.88,0.83,0.0024,1
lurker_human,465,133,321,0.15,0.62,0.04,0.09,0.0193,0
active_human,414,182,259,1.89,0.81,0.01,0.29,0.0871,0
creator_human,978,61104,859,4.47,0.9,0.24,0.33,0.0314,0
lurker_human,393,85,55,0.09,0.74,0.07,0.1,0.0391,0
active_human,341,252,299,0.82,0.96,0.08,0.29,0.0849,0
active_human,820,97,150,0.77,0.92,0.1,0.29,0.0586,0
compromised_bot,1960,1387,3582,43.52,0.64,0.9,0.66,0.0057,1
compromised_bot,1456,1041,3869,36.0,0.61,0.92,0.63,0.0067,1
follow_bot,8,112,5426,1.11,0.2,0.94,0.65,0.0013,1
active_human,406,302,434,2.3,0.84,0.06,0.28,0.0795,0
active_human,803,187,208,2.01,0.72,0.05,0.37,0.106,0
active_human,930,544,651,1.18,0.74,0.12,0.19,0.0703,0
active_human,184,164,194,2.33,0.74,0.08,0.34,0.0208,0
compromised_bot,1082,511,7106,18.92,0.76,0.67,0.86,0.0068,1
active_human,719,385,394,0.73,0.91,0.2,0.22,0.0213,0
active_human,816,876,827,1.19,0.77,0.32,0.32,0.1082,0
active_human,720,112,106,0.76,0.95,0.04,0.23,0.0741,0
spambot,19,69,3448,40.01,0.24,0.94,0.9,0.0016,1
active_human,1452,187,168,1.38,0.67,0.17,0.3,0.0608,0
follow_bot,47,179,8499,1.33,0.49,0.95,0.7,0.0009,1
follow_bot,45,127,5994,0.5,0.41,0.93,0.73,0.0008,1
lurker_human,1046,49,106,0.12,0.72,0.03,0.07,0.0539,0
active_human,701,253,310,1.06,0.63,0.04,0.12,0.057,0
lurker_human,844,110,284,0.13,0.69,0.05,0.21,0.0148,0
active_human,1020,64,114,1.76,0.94,0.31,0.28,0.0633,0
spambot,29,66,4391,38.7,0.35,0.78,0.8,0.0009,1
active_human,443,483,509,1.48,0.83,0.02,0.29,0.0948,0
active_human,143,217,214,1.57,0.78,0.17,0.11,0.046,0
active_human,1097,323,218,1.19,0.45,0.09,0.31,0.1167,0
follow_bot,16,62,3956,1.15,0.52,0.98,0.8,0.0005,1
active_human,436,646,724,0.24,0.75,0.14,0.22,0.0602,0
active_human,541,718,853,0.73,0.82,0.12,0.24,0.0875,0
spambot,8,79,3824,46.58,0.12,0.88,0.98,0.0002,1
creator_human,1624,24324,715,3.47,0.92,0.18,0.32,0.0504,0
active_human,710,709,929,2.41,0.35,0.22,0.11,0.0623,0
active_human,947,99,163,1.9,0.82,0.1,0.39,0.1017,0
follow_bot,34,176,7589,0.64,0.23,0.88,0.49,0.0009,1
active_human,411,199,323,0.46,0.86,0.09,0.39,0.037,0
follow_bot,22,185,5430,1.48,0.31,0.86,0.73,0.0014,1
creator_human,724,60597,337,2.09,0.85,0.08,0.33,0.083,0
compromised_bot,2313,1024,5653,19.87,0.63,0.71,0.7,0.0048,1
compromised_bot,2222,305,4794,11.57,0.54,0.82,0.83,0.0076,1
active_human,506,1319,1428,2.13,0.83,0.21,0.39,0.0375,0
creator_human,1391,122857,1195,2.3,0.95,0.08,0.26,0.0522,0
active_human,494,348,335,2.43,0.84,0.03,0.34,0.0375,0
spambot,4,26,6120,46.17,0.31,0.71,0.84,0.0007,1
active_human,332,147,152,0.29,0.85,0.03,0.25,0.063,0
creator_human,1121,7893,880,3.36,0.96,0.06,0.28,0.0572,0
spambot,10,57,3931,16.75,0.29,0.82,0.95,0.0005,1
active_human,1074,155,185,2.32,0.94,0.18,0.36,0.1035,0
compromised_bot,1141,1145,3992,38.94,0.68,0.88,0.67,0.0034,1
active_human,741,366,323,1.7,0.73,0.01,0.24,0.0878,0
lurker_human,455,102,235,0.05,0.45,0.04,0.26,0.0144,0
compromised_bot,1408,646,7505,12.16,0.53,0.7,0.78,0.0021,1
compromised_bot,1336,1001,4773,10.18,0.52,0.92,0.79,0.0029,1
active_human,373,185,271,0.69,0.51,0.26,0.16,0.0542,0
lurker_human,594,129,351,0.1,0.6,0.05,0.14,0.0123,0
active_human,1239,117,200,1.71,0.96,0.03,0.24,0.0319,0
compromised_bot,2020,784,6299,37.42,0.74,0.84,0.86,0.0026,1
follow_bot,17,142,8055,1.41,0.53,1.0,0.5,0.0019,1
lurker_human,551,50,101,0.01,0.58,0.03,0.3,0.0387,0
active_human,755,312,250,1.01,0.91,0.11,0.17,0.0581,0
follow_bot,58,46,3268,0.74,0.32,0.99,0.45,0.0019,1
spambot,12,30,4576,30.59,0.19,0.88,0.9,0.001,1
compromised_bot,2285,212,6450,24.62,0.54,0.83,0.88,0.0056,1
active_human,782,47,108,0.94,0.88,0.07,0.17,0.0488,0
creator_human,1022,7799,870,1.81,0.93,0.2,0.34,0.0565,0
follow_bot,48,134,7198,0.99,0.45,0.91,0.7,0.0011,1
spambot,9,64,5181,56.22,0.15,0.93,0.88,0.0025,1
lurker_human,776,34,145,0.05,0.72,0.03,0.27,0.038,0
follow_bot,47,164,8507,0.55,0.29,0.88,0.74,0.0016,1
lurker_human,463,131,296,0.05,0.75,0.01,0.2,0.043,0
spambot,2,77,3314,18.28,0.41,0.82,0.87,0.0028,1
spambot,3,29,3109,59.9,0.13,0.81,0.77,0.0,1
spambot,14,14,3646,26.75,0.39,0.97,0.82,0.0008,1
active_human,494,239,308,0.23,0.64,0.12,0.31,0.0471,0
compromised_bot,1374,1199,5559,24.37,0.56,0.72,0.7,0.0028,1
active_human,582,163,157,1.93,0.89,0.28,0.34,0.096,0
active_human,417,140,154,0.59,0.69,0.03,0.13,0.0848,0
follow_bot,19,167,4032,0.86,0.24,0.86,0.66,0.0011,1
active_human,524,168,155,1.01,0.86,0.24,0.11,0.063,0
active_human,1461,291,317,0.29,0.67,0.05,0.28,0.0803,0
spambot,13,34,7215,28.8,0.37,0.76,0.92,0.0007,1
creator_human,1715,17743,567,3.45,0.87,0.25,0.19,0.1013,0
lurker_human,292,109,250,0.1,0.68,0.1,0.17,0.0489,0
spambot,20,31,2909,48.19,0.44,0.71,0.96,0.0017,1
creator_human,894,13366,773,4.21,0.91,0.08,0.29,0.0652,0
lurker_human,726,37,343,0.05,0.4,0.04,0.1,0.0431,0
creator_human,1366,42831,416,2.2,0.87,0.07,0.32,0.1402,0
creator_human,740,62016,305,1.41,0.85,0.19,0.22,0.0605,0
active_human,371,398,299,1.08,0.94,0.0,0.37,0.0664,0
active_human,487,222,302,0.93,0.82,0.09,0.25,0.093,0
creator_human,1667,107586,1166,1.69,0.87,0.24,0.17,0.0874,0
creator_human,811,16254,538,1.82,0.95,0.21,0.16,0.0898,0
spambot,5,46,2743,59.9,0.38,0.86,0.93,0.0011,1
creator_human,848,24312,751,2.26,0.99,0.05,0.21,0.0368,0
spambot,19,61,3663,48.78,0.24,0.91,0.86,0.0012,1
compromised_bot,2038,628,4290,21.13,0.7,0.75,0.84,0.0043,1
active_human,317,244,206,2.36,0.74,0.11,0.24,0.0615,0
spambot,3,45,5925,38.87,0.31,0.86,0.85,0.001,1
active_human,1531,366,315,0.69,0.87,0.07,0.28,0.0348,0
active_human,174,572,559,0.39,0.77,0.15,0.34,0.0477,0
compromised_bot,1056,582,3941,44.57,0.61,0.77,0.78,0.0066,1
lurker_human,414,120,79,0.1,0.57,0.1,0.29,0.0111,0
compromised_bot,1204,1043,5282,17.93,0.7,0.76,0.78,0.0012,1
active_human,478,198,279,2.12,0.94,0.04,0.24,0.0645,0
active_human,724,179,184,0.25,0.8,0.08,0.1,0.0343,0
spambot,5,39,5089,34.26,0.4,0.97,0.96,0.0008,1
active_human,475,242,277,1.5,0.71,0.15,0.38,0.1042,0
active_human,201,269,388,2.38,0.91,0.02,0.11,0.0535,0
active_human,1144,416,402,0.59,0.88,0.08,0.29,0.0847,0
follow_bot,43,72,8133,1.26,0.29,0.91,0.56,0.002,1
active_human,384,579,583,2.12,0.81,0.1,0.26,0.1197,0
active_human,308,900,685,2.22,0.92,0.01,0.15,0.0672,0
creator_human,697,18745,779,1.89,0.92,0.06,0.29,0.0697,0
spambot,8,25,5891,45.51,0.27,0.74,0.81,0.0013,1
creator_human,586,15056,233,4.18,0.89,0.07,0.21,0.0426,0
active_human,368,267,345,1.4,0.81,0.17,0.23,0.095,0
compromised_bot,2464,1265,7486,15.76,0.56,0.89,0.72,0.0041,1
creator_human,924,15409,650,3.53,0.97,0.19,0.27,0.0318,0
active_human,208,799,711,2.35,0.69,0.12,0.19,0.108,0
active_human,645,203,179,0.68,0.85,0.16,0.15,0.0352,0
active_human,235,1142,1360,0.92,0.56,0.2,0.37,0.057,0
spambot,35,59,7086,62.81,0.23,0.79,0.76,0.0015,1
active_human,375,540,724,2.2,0.73,0.08,0.17,0.0444,0
active_human,496,125,191,1.93,0.83,0.09,0.18,0.1073,0
active_human,844,207,296,0.59,0.97,0.14,0.35,0.0909,0
active_human,1579,648,602,0.9,0.97,0.14,0.31,0.083,0
follow_bot,38,115,4724,0.29,0.2,0.93,0.79,0.0007,1
active_human,437,27,75,0.48,0.88,0.05,0.22,0.1018,0
follow_bot,54,141,6199,0.69,0.38,0.89,0.7,0.001,1
active_human,937,244,351,1.07,0.68,0.14,0.33,0.0933,0
follow_bot,11,146,3512,0.27,0.4,0.9,0.55,0.0012,1
spambot,2,64,5153,20.4,0.18,0.91,0.82,0.0019,1
active_human,572,490,639,2.18,0.85,0.11,0.4,0.1058,0
active_human,824,78,126,2.1,0.91,0.04,0.23,0.0577,0
follow_bot,24,145,6484,1.13,0.41,0.98,0.54,0.0014,1
compromised_bot,2117,597,6018,15.75,0.77,0.69,0.79,0.0019,1
active_human,246,360,418,0.6,0.87,0.14,0.25,0.0214,0
follow_bot,11,191,6398,0.81,0.55,0.99,0.7,0.0009,1
creator_human,1106,10560,751,3.79,0.96,0.18,0.18,0.0956,0
active_human,240,163,149,0.8,0.7,0.19,0.25,0.082,0
lurker_human,1347,54,128,0.1,0.62,0.06,0.18,0.0473,0
follow_bot,35,101,6114,0.2,0.33,0.9,0.65,0.0007,1
active_human,1003,331,252,2.43,0.64,0.24,0.24,0.0673,0
active_human,110,369,378,0.93,0.89,0.06,0.25,0.0323,0
active_human,640,918,983,0.65,0.93,0.17,0.24,0.0427,0
spambot,38,30,1653,28.09,0.32,0.93,0.8,0.0028,1
creator_human,957,2321,742,2.52,0.98,0.12,0.31,0.1429,0
creator_human,1646,24872,660,1.07,0.86,0.13,0.27,0.0857,0
creator_human,2636,10340,765,1.71,0.89,0.2,0.25,0.0559,0
compromised_bot,1258,597,6857,20.49,0.84,0.81,0.79,0.0058,1
spambot,11,52,6591,17.69,0.11,0.8,0.83,0.0012,1
active_human,757,346,392,1.97,0.78,0.08,0.22,0.0673,0
follow_bot,10,103,3815,0.6,0.47,0.89,0.73,0.0015,1
spambot,2,7,6773,17.07,0.21,0.86,0.96,0.002,1
lurker_human,538,29,171,0.02,0.68,0.1,0.17,0.0129,0
active_human,803,384,437,2.32,0.94,0.13,0.2,0.0719,0
active_human,1714,1139,1112,2.05,0.94,0.05,0.11,0.025,0
creator_human,1662,43536,169,3.15,0.89,0.15,0.24,0.039,0
active_human,266,138,179,2.46,0.84,0.2,0.18,0.0301,0
active_human,1260,179,234,1.62,0.91,0.01,0.26,0.1048,0
spambot,6,62,2802,28.26,0.16,0.73,0.85,0.0003,1
active_human,1886,104,126,2.28,0.62,0.08,0.11,0.0946,0
